R, P, T, Rho, Kappa, Epsilon, Qm, L_r, dlPlT
0.7980658782631486, 566038782647.6049, 778121.4479624721, 0.005434064498162422, 18.60242810665252, 8.467275754493138e-13, 0.00029990485710540415, 3.826e+33, 4.588416693183527
0.7990634606109775, 550014192074.4443, 773266.4604911611, 0.00531334587524905, 18.67080048952516, 7.699672459940094e-13, 0.0002926235445005476, 3.826e+33, 4.588514851245005
0.8000610429588064, 534385212829.8023, 768423.6782429524, 0.005194866806826778, 18.739693507545052, 6.99802476525771e-13, 0.000285486490726794, 3.826e+33, 4.588612781574388
0.8010586253066354, 519143337381.76794, 763593.0561695467, 0.005078592605567166, 18.809113992461917, 6.356978489015604e-13, 0.00027849145816238874, 3.826e+33, 4.588710487860674
0.8020562076544643, 504280219672.7528, 758774.5494414399, 0.004964489049337036, 18.879068900446406, 5.771588684226054e-13, 0.00027163623510095825, 3.826e+33, 4.588807973765595
0.8030537900022933, 489787672319.3978, 753968.1134467338, 0.00485252237531945, 18.949565315009277, 5.237290293905187e-13, 0.00026491863552990935, 3.826e+33, 4.588905242923417
0.8040513723501221, 475657663859.0735, 749173.7037899537, 0.004742659274209984, 19.020610450004533, 4.749870773425925e-13, 0.0002583364989131587, 3.826e+33, 4.5890022989411685
0.8050489546979511, 461882316042.20026, 744391.2762908756, 0.004634866884487276, 19.09221165271912, 4.3054445568847356e-13, 0.00025188768997264077, 3.826e+33, 4.589099145398939
0.80604653704578, 448453901169.6299, 739620.7869833611, 0.004529112786756898, 19.16437640705226, 3.900429251819821e-13, 0.00024557009847325784, 3.826e+33, 4.589195785850384
0.807044119393609, 435364839474.34033, 734862.192114201, 0.004425364998167593, 19.237112336787497, 3.531523453353592e-13, 0.0002393816390088288, 3.826e+33, 4.589292223822829
0.8080417017414379, 422607696546.71, 730115.4481419674, 0.004323591966898894, 19.310427208960594, 3.195686075202404e-13, 0.00023332025078937058, 3.826e+33, 4.589388462817263
0.8090392840892668, 410175180802.64966, 725380.511735874, 0.0042237625667192365, 19.384328937326647, 2.890117101022972e-13, 0.00022738389742982257, 3.826e+33, 4.589484506309206
0.8100368664370957, 398060140993.88104, 720657.3397746446, 0.004125846091613616, 19.458825585930004, 2.6122396652626274e-13, 0.00022157056674143583, 3.826e+33, 4.589580357748333
0.8110344487849247, 386255563759.6654, 715945.8893453901, 0.004029812250479868, 19.533925372780303, 2.359683378068414e-13, 0.00021587827052327313, 3.826e+33, 4.589676020559441
0.8120320311327536, 374754571219.2947, 711246.1177424941, 0.00393563116189271, 19.6096366736387, 2.1302688139007195e-13, 0.0002103050443555965, 3.826e+33, 4.589771498142147
0.8130296134805826, 363550418604.6708, 706557.982466506, 0.003843273348934616, 19.68596802591793, 1.9219930883090129e-13, 0.00020484894739536408, 3.826e+33, 4.589866793871079
0.8140271958284114, 352636491932.3096, 701881.4412230428, 0.003752709734092693, 19.762928132700495, 1.7330164518713207e-13, 0.00019950806217239325, 3.826e+33, 4.589961911096893
0.8150247781762404, 342006305714.117, 697216.4519216997, 0.0036639116342206558, 19.840525866878952, 1.5616498345915257e-13, 0.00019428049438752204, 3.826e+33, 4.590056853145689
0.8160223605240693, 331653500706.2958, 692562.9726749676, 0.003576850755565089, 19.918770275423068, 1.4063432781011376e-13, 0.0001891643727124359, 3.826e+33, 4.590151623319792
0.8170199428718983, 321571841695.7521, 687920.9617971602, 0.003491499188855123, 19.99767058377794, 1.265675196836992e-13, 0.00018415784858971662, 3.826e+33, 4.5902462248978235
0.8180175252197271, 311755215323.38196, 683290.3778033485, 0.0034078294044547247, 20.07723620039839, 1.138342412975898e-13, 0.00017925909603611068, 3.826e+33, 4.5903406611351345
0.8190151075675561, 302197627943.62744, 678671.1794083036, 0.003325814247576768, 20.157476721424203, 1.0231509133124161e-13, 0.00017446631144546476, 3.826e+33, 4.5904349352637155
0.820012689915385, 292893203519.70306, 674063.3255254477, 0.003245426933558089, 20.238401935501738, 9.190072794773741e-14, 0.0001697777133944367, 3.826e+33, 4.59052905049287
0.821010272263214, 283836181553.9028, 669466.7752658138, 0.003166641043194729, 20.32002182875701, 8.249107459224092e-14, 0.00016519154244876155, 3.826e+33, 4.590623010009312
0.8220078546110429, 275020915052.40784, 664881.4879370127, 0.003089430518136578, 20.402346589926154, 7.39945842949694e-14, 0.00016070606097151607, 3.826e+33, 4.590716816977259
0.8230054369588718, 266441868524.02548, 660307.4230422087, 0.0030137696563406592, 20.485386615649084, 6.632755847553337e-14, 0.0001563195529322714, 3.826e+33, 4.590810474538938
0.8240030193067007, 258093616012.2974, 655744.5402791036, 0.0029396331075822687, 20.569152515932394, 5.941351649878544e-14, 0.00015203032371735592, 3.826e+33, 4.59090398581463
0.8250006016545297, 249970839160.42764, 651192.7995389283, 0.0028669958690232494, 20.653655119788166, 5.318261247087904e-14, 0.00014783669994267168, 3.826e+33, 4.590997353903397
0.8259981840023586, 242068325308.48706, 646652.1609054436, 0.0027958332808366245, 20.73890548105504, 4.7571095988822255e-14, 0.0001437370292666218, 3.826e+33, 4.591090581882675
0.8269957663501876, 234380965622.36194, 642122.5846539477, 0.0027261210218868896, 20.824914884408972, 4.25208137681417e-14, 0.00013972968020481424, 3.826e+33, 4.591183672809148
0.8279933486980164, 226903753253.9223, 637604.0312502935, 0.0026578351054652163, 20.911694851570562, 3.797874927212042e-14, 0.0001358130419462089, 3.826e+33, 4.591276629718236
0.8289909310458454, 219631781531.89484, 633096.4613499127, 0.0025909518750788733, 20.99925714771696, 3.3896597653096347e-14, 0.00013198552417048592, 3.826e+33, 4.591369455625339
0.8299885133936743, 212560242182.93335, 628599.8357968491, 0.002525448000294151, 21.087613788106015, 3.023037349211371e-14, 0.0001282455568667462, 3.826e+33, 4.591462153525522
0.8309860957415033, 205684423582.38876, 624114.1156227997, 0.0024613004726321045, 21.17677704492128, 2.6940048988491047e-14, 0.00012459159015298926, 3.826e+33, 4.591554726393635
0.8319836780893322, 198999709034.28836, 619639.2620461644, 0.0023984866015164252, 21.266759454346367, 2.398922040613307e-14, 0.0001210220940979223, 3.826e+33, 4.591647177184793
0.8329812604371611, 192501575080.04242, 615175.2364711029, 0.0023369840102727734, 21.357573823877978, 2.134480072924858e-14, 0.00011753555854321363, 3.826e+33, 4.591739508835034
0.83397884278499, 186185589835.40448, 610722.0004866017, 0.002276770632178899, 21.449233239886983, 1.8976736617053632e-14, 0.00011413049292685606, 3.826e+33, 4.591831724260475
0.834976425132819, 180047411355.21912, 606279.5158655477, 0.002217824706564903, 21.541751075437606, 1.6857747875558415e-14, 0.00011080542610886202, 3.826e+33, 4.591923826358895
0.8359740074806479, 174082786025.4991, 601847.7445638109, 0.0021601247749629847, 21.635140998375217, 1.4963087785101778e-14, 0.00010755890619684738, 3.826e+33, 4.5920158180090045
0.8369715898284769, 168287546982.3812, 597426.6487193358, 0.0021036496773060346, 21.72941697969348, 1.327032273538446e-14, 0.00010438950037361394, 3.826e+33, 4.592107702071351
0.8379691721763057, 162657612557.51755, 593016.1906512406, 0.0020483785481744607, 21.824593302192568, 1.1759129725765193e-14, 0.00010129579472650807, 3.826e+33, 4.592199481387667
0.8389667545241347, 157188984749.4668, 588616.3328589251, 0.001994290813090602, 21.9206845694403, 1.0411110387942732e-14, 9.827639407566924e-05, 3.826e+33, 4.592291158782385
0.8399643368719636, 151877747720.6565, 584227.0380211868, 0.0019413661848601284, 22.01770571504869, 9.209620281220497e-15, 9.532992180694144e-05, 3.826e+33, 4.592382737062017
0.8409619192197926, 146720066319.4952, 579848.2689953465, 0.0018895846599598339, 22.1156720122793, 8.139612297714131e-15, 9.245501970278625e-05, 3.826e+33, 4.592474219015284
0.8419595015676214, 141712184627.21994, 575479.988816381, 0.0018389265149711973, 22.21459908399102, 7.18749309644523e-15, 8.965034777641545e-05, 3.826e+33, 4.592565607413964
0.8429570839154504, 136850424529.0714, 571122.1606960656, 0.0017893723030591527, 22.314502912944832, 6.340991561606167e-15, 8.691458410592379e-05, 3.826e+33, 4.5926569050129356
0.8439546662632793, 132131184309.3961, 566774.7480221252, 0.0017409028504954704, 22.415399852480817, 5.5890383516770845e-15, 8.424642467019794e-05, 3.826e+33, 4.592748114550225
0.8449522486111083, 127550937270.2813, 562437.7143573934, 0.0016934992532261798, 22.51730663758321, 4.9216556728274064e-15, 8.164458318604684e-05, 3.826e+33, 4.592839238747463
0.8459498309589373, 123106230373.33495, 558111.0234389813, 0.0016471428734824735, 22.620240396350365, 4.3298564724095476e-15, 7.910779094588705e-05, 3.826e+33, 4.59293028031002
0.8469474133067662, 118793682904.22964, 553794.6391774544, 0.0016018153364345312, 22.72421866188717, 3.8055523066192025e-15, 7.663479665687145e-05, 3.826e+33, 4.59302124192708
0.8479449956545951, 114609985159.63547, 549488.5256560193, 0.0015574985268877134, 22.829259384638345, 3.341469190795523e-15, 7.422436628135021e-05, 3.826e+33, 4.593112126272098
